company_id,company_name,num_laid_off,pct_laid_off,industry,office,country_code,country,region,continent,date_announced,year,quarter,month,weekday,week,stage,mn_raised_dollar,source
2230,SolarEdge,400,NA,Energy,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-07-15,2024,Q3,7,Monday,29,Post-IPO,155,https://www.reuters.com/business/energy/solaredge-technologies-lay-off-400-employees-2024-07-15/
1303,Kaspersky,NA,NA,Security,Boston,USA,United States,Northern America,North America,2024-07-16,2024,Q3,7,Tuesday,29,Private Equity,NA,https://techcrunch.com/2024/07/16/kaspersky-to-shut-down-us-operations-lay-off-employees-after-us-government-ban/
2550,Unbounce,NA,NA,Marketing,Vancouver,CAN,Canada,Northern America,North America,2024-07-16,2024,Q3,7,Tuesday,29,Acquired,39,https://docs.google.com/spreadsheets/d/15LG7GR8xg316I-Iy2NNJRNOK_gFL7cj_xycaeQQPrpI/edit?gid=1516705010#gid=1516705010
1717,ON,60,1,Retail,SF Bay Area,USA,United States,Northern America,North America,2024-07-16,2024,Q3,7,Tuesday,29,Unknown,81,https://venturebeat.com/games/on-enterprise-ai-startup-ceo-resigns-staff-laid-off-after-11m-in-cash-goes-missing/
142,Aqua Security,50,0.1,Security,Boston,USA,United States,Northern America,North America,2024-07-17,2024,Q3,7,Wednesday,29,Series E,325,https://www.calcalistech.com/ctechnews/article/rky00s7rd0
1402,Lex,NA,NA,Consumer,New York City,USA,United States,Northern America,North America,2024-07-17,2024,Q3,7,Wednesday,29,Seed,7,https://www.businessinsider.com/queer-social-network-lex-lays-off-staff-growth-startup-dating-2024-7
828,EverC,16,0.1,Security,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-07-17,2024,Q3,7,Wednesday,29,Unknown,61,https://www.calcalistech.com/ctechnews/article/bjrddqr00r
1478,Magic Leap,75,NA,Consumer,Miami,USA,United States,Northern America,North America,2024-07-19,2024,Q3,7,Friday,29,Series E,4100,https://www.bloomberg.com/news/articles/2024-07-19/magic-leap-cuts-sales-marketing-teams-in-ar-about-face
1534,Mercari U.S.,NA,0.5,Retail,SF Bay Area,USA,United States,Northern America,North America,2024-07-19,2024,Q3,7,Friday,29,Subsidiary,NA,https://asia.nikkei.com/Business/Retail/Japan-marketplace-app-Mercari-lays-off-almost-half-its-U.S.-workforce
306,Bluelearn,NA,1,Education,Bengaluru,IND,India,Southern Asia,Asia,2024-07-22,2024,Q3,7,Monday,30,Seed,4,https://www.moneycontrol.com/technology/elevation-capital-backed-edtech-startup-bluelearn-shuts-down-article-12774167.html#goog_rewarded
547,Cohere,20,0.05,AI,Toronto,CAN,Canada,Northern America,North America,2024-07-23,2024,Q3,7,Tuesday,30,Series D,935,https://fortune.com/2024/07/23/after-500-million-funding-ai-startup-cohere-layoffs/
1155,Humble Games,36,1,Media,SF Bay Area,USA,United States,Northern America,North America,2024-07-23,2024,Q3,7,Tuesday,30,Acquired,4,https://venturebeat.com/games/humble-games-layoffs-shut-down-ziff-davis/
2665,Webflow,NA,0.08,Marketing,SF Bay Area,USA,United States,Northern America,North America,2024-07-25,2024,Q3,7,Thursday,30,Series C,335,https://webflow.com/blog/restructuring-announcement
2658,WayCool,200,NA,Food,Chennai,IND,India,Southern Asia,Asia,2024-07-26,2024,Q3,7,Friday,30,Unknown,363,https://www.moneycontrol.com/technology/not-cool-agritech-startup-waycool-fires-over-200-employees-in-third-round-of-layoffs-in-12-months-article-12778790.html
1885,Pocket FM,200,NA,Media,Bengaluru,IND,India,Southern Asia,Asia,2024-07-27,2024,Q3,7,Saturday,30,Series D,212,https://inc42.com/buzz/lightspeed-backed-pocket-fm-fires-around-200-writers/
1747,OrCam,NA,NA,Healthcare,Jerusalem,ISR,Israel,Western Asia,Asia,2024-07-28,2024,Q3,7,Sunday,30,Unknown,86,https://www.calcalistech.com/ctechnews/article/hy0rv6qya
1597,Moxion Power,248,1,Energy,SF Bay Area,USA,United States,Northern America,North America,2024-07-29,2024,Q3,7,Monday,31,Unknown,124,https://www.sfgate.com/tech/article/moxion-power-shutdown-layoff-huelskamp-19605417.php
1640,NerdWallet,NA,0.15,Finance,SF Bay Area,USA,United States,Northern America,North America,2024-07-30,2024,Q3,7,Tuesday,31,Post-IPO,105,https://www.marketwatch.com/amp/story/nerdwallet-to-cut-15-of-its-workforce-aa1db7c7
372,Bungie,220,0.17,Consumer,Seattle,USA,United States,Northern America,North America,2024-07-31,2024,Q3,7,Wednesday,31,Acquired,100,https://www.bungie.net/7/en/News/article/newpath
1501,Match Group,NA,0.06,Consumer,New York City,USA,United States,Northern America,North America,2024-07-31,2024,Q3,7,Wednesday,31,Post-IPO,NA,https://techcrunch.com/2024/07/31/match-group-ends-live-streaming-service-layoffs/
690,Delivery Hero,200,NA,Food,Berlin,DEU,Germany,Western Europe,Europe,2024-07-31,2024,Q3,7,Wednesday,31,Post-IPO,9900,https://www.bloomberg.com/news/articles/2024-07-31/delivery-hero-to-combine-european-and-asian-businesses-cut-jobs
1969,Rad Power Bikes,NA,NA,Transportation,Seattle,USA,United States,Northern America,North America,2024-08-01,2024,Q3,8,Thursday,31,Series D,329,https://techcrunch.com/2024/08/01/rad-power-bikes-layoffs/
202,Avaya,180,0.03,Other,Durham,USA,United States,Northern America,North America,2024-08-01,2024,Q3,8,Thursday,31,Post-IPO,700,https://www.uctoday.com/unified-communications/avaya-layoffs-theyve-talked-the-talk-now-they-need-to-walk-the-walk/
